id,original,augmented,functionality,range_anxiety,availability,cost,ui,location,service_time,dealership
0,Reliable....but under a eucalyptus tree that sheds profusely.....,Reliable.... but under a eucalyptus tree that spreads lush.....,0,0,0,0,0,1,0,0
1,"Quick charge. It working, but lvl 2 dorks fine. ","Fast charging. It works, but lvl 2 works fine.",1,0,0,0,0,0,0,0
2,So the dealer had all of their cars being serviced parked in every spot including the quick charger. I called and asked them for at least access to the quick charger and they agreed but never did anything so I left and drove to Larry h nissan. I was willing to pay because I was in a hurry and obviously the Toyota dealer doesn't want my business.,"So the dealer had all his cars serviced in every place, including the fast charger. I called them and asked them to at least get access to the fast charger, and they agreed, but never did anything, so I went and drove to Larry Hnissan. I was willing to pay because I was in a hurry and the Toyota dealer obviously does not want my business.",0,0,1,0,0,0,0,1
3,No charging stations but 220 & 110 outlets and really friendly people.,"No charging stations, but 220 & 110 sockets and really friendly people.",0,0,1,0,0,1,1,0
4,"Was only there @ 9PM Jan 04, 2015. Works flawlessly","Was only there at 21 o'clock on Jan 04, 2015. Works fine.",1,0,0,0,0,0,0,0
5,"Works great. One Tesla slot was ICE'd by employee car (Saw him come out of the side door and get something), however level 2 Creek charger spot was open.","One Tesla slot was ICE'd by staff car (saw him come out the side door and get something), but the Level 2 Creek charging station was open.",1,0,1,0,0,0,0,0
6,nice...and free. ,beautiful... and free.,0,0,0,1,0,0,0,0
7,removed quick charger,Quick charger removed,1,0,1,0,0,0,0,0
8,Confirmed not working since 7-8am. Not sure when it will be back up.,Confirmed that it has not worked since 7-8am.,1,0,0,0,0,0,0,0
9,QC working great.,QC works great.,1,0,0,0,0,0,0,0
10,awesome!,Great!,0,0,0,0,0,0,0,0
11,How do you get a liberty hydra account? Is that the only way to pay? I just bought a Chevy spark and have no clue how this works.,How do you get a Liberty Hydra account? Is that the only way to pay? I just bought a Chevy Spark and have no idea how it works.,0,0,0,0,1,0,0,0
12,"For instant access, either dial 1-800-663-5633 anytime <OR> visit www.semacharge.com on your smartphone.  Once completed, ask for a smart-card, too. ","For instant access, dial either 1-800-663-5633 < OR > visit www.semacharge.com on your smartphone and ask for a smart card.",1,0,0,0,1,0,0,0
13,Very friendly.,Very friendly.,0,0,0,0,0,1,0,0
14,"my husband's car ---I was totally confused-- the salesman, Omar saved my day, hooked  me up,  got me popcorn and invited me into the air conditioned comfort of their showroom -- awesome!!!","My husband's car -- I was totally confused -- the salesman, Omar, saved my day, hooked me up, got me popcorn and invited me into the air-conditioned comfort of their showroom -- awesome!!!",0,0,0,0,0,1,0,0
15,"Great place to charge.  Nice place, clean with available snacks.  Met three others while charging.  We all had a great time.","Great place to shop. Nice place, clean with available snacks. Meet three others at the store. We all had a great time.",0,0,0,0,1,1,0,0
16,4 electric vehicles in all accessible spots not charging,4 electric vehicles in all accessible places that are not recharged,0,0,1,0,0,0,0,0
